Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2148,42147,42147,59882,52793,0.85,35730,64564,59648,0.12,5140,-1398,-1538,42147,62270,55274,42147,2368,957,0.13,5621,54170,27238,0.12,5148,36545,12260,0.78,32985,16060,12288,41800,82296,31723
2150,26936,26936,69226,59276,0.88,23752,73314,65505,0.09,2451,-1924,-1350,26936,71623,61934,26936,2366,1111,0.11,2936,46416,19256,0.1,2617,29416,7253,0.8,21590,19772,14409,23017,61009,16735
2151,13147,13147,76284,61159,0.81,10631,79991,69999,0.2,2660,-1234,-627,13147,79254,63995,13147,2902,983,0.1,1358,84223,26364,0.1,1275,57594,10742,0.79,10353,24230,16250,13633,145801,57978
2152,7014,7014,76256,63524,0.81,5716,81733,72688,0.18,1250,-882,-612,7014,79208,66410,7014,2923,1076,0.09,651,100645,23800,0.09,621,76635,9683,0.79,5553,23681,17275,7423,154883,74181
2153,39493,39493,85138,66352,0.8,31601,90869,77772,0.27,10494,-2218,-1541,39493,88479,69419,39493,3265,1090,0.09,3403,105254,33604,0.08,3180,71442,12660,0.79,31110,28560,19637,41601,187553,85749
2154,26567,26567,87558,62192,0.77,20340,92022,75000,0.27,7220,-1831,-890,26567,91125,65407,26567,3511,959,0.09,2286,109824,30048,0.08,2064,79541,11582,0.77,20450,31020,19092,26959,223731,85552
2155,50135,50135,88211,71478,0.86,42949,92247,79767,0.24,12163,-4535,-3107,50135,91517,74735,50135,3229,1277,0.09,4352,183603,27606,0.08,4001,167583,11839,0.82,41119,28424,20291,49864,139224,66198
2156,8897,8897,109507,63266,0.71,6326,91961,68542,0.25,2207,1490,801,8897,113760,66885,8897,4169,751,0.08,688,142861,40345,0.07,645,96272,17956,0.77,6876,43728,20183,9305,339742,123374
2157,2598,2598,90336,58116,0.75,1941,79629,62677,0.21,549,3303,1565,2598,93895,61070,2598,3485,710,0.11,278,113185,40683,0.1,268,75332,22438,0.78,2037,32237,16210,2806,205894,81183
2158,5732,5732,122360,65446,0.72,4122,90508,71200,0.26,1469,2794,215,5732,126995,69264,5732,4532,890,0.09,513,152664,34000,0.08,469,121375,16131,0.78,4485,50771,20241,5985,313286,93336
2159,3320,3320,91043,57630,0.71,2341,86530,65076,0.22,739,3569,1908,3320,95218,60512,3320,3916,673,0.11,363,114525,41396,0.1,343,77651,17168,0.77,2556,33446,16277,3513,292754,111034
2160,22231,22231,55870,46705,0.79,17455,60946,54884,0.13,2993,1247,267,22231,58277,48940,22231,2364,743,0.16,3475,77040,34012,0.15,3230,57972,15742,0.75,16659,15154,10584,20749,75954,21325
2161,16993,16993,52089,43324,0.77,13003,58260,52954,0.12,1970,312,-154,16993,54437,45249,16993,2326,600,0.16,2745,63267,37140,0.15,2595,42645,17179,0.72,12233,14054,10082,15862,67601,18537
2162,10087,10087,53064,43259,0.77,7756,58899,52828,0.14,1439,488,-130,10087,55514,45044,10087,2411,585,0.13,1315,71334,34515,0.12,1216,51802,16715,0.72,7220,14788,10447,9708,85954,25405
2163,4735,4735,49129,42691,0.79,3745,54771,50960,0.1,457,-794,-767,4735,51438,44565,4735,2247,605,0.13,606,63158,31938,0.12,553,44461,17155,0.72,3390,12672,9417,4620,56794,15811
2164,10212,10212,59022,49185,0.81,8226,61959,56288,0.16,1657,2148,611,10212,61486,51402,10212,2418,840,0.11,1115,72569,32169,0.1,1053,52883,15802,0.76,7712,16588,11812,10518,102167,33971
2165,19558,19558,52020,44428,0.8,15703,56265,51667,0.14,2716,1104,372,19558,54082,46098,19558,2034,646,0.12,2295,74947,32865,0.11,2162,54532,14522,0.72,14146,13830,10301,19435,67938,19499
2166,27732,27732,52267,45338,0.83,22964,55140,51204,0.15,4134,596,146,27732,54262,47211,27732,1918,610,0.09,2558,83560,31781,0.09,2362,64741,14405,0.74,20387,13740,10070,28243,59507,18126
2167,6307,6307,66200,58658,0.88,5524,71392,65394,0.17,1089,-2104,-1834,6307,68754,61292,6307,2542,1199,0.08,510,61803,24729,0.07,473,47572,11274,0.8,5064,18464,14188,6514,93615,41729
2168,21262,21262,54120,47605,0.83,17722,58520,54698,0.12,2524,-1460,-1499,21262,56526,49882,21262,2374,887,0.1,2060,73613,34381,0.09,1944,54217,16698,0.75,15980,14104,10814,22062,71545,24198
2170,61198,61198,60779,52944,0.84,51234,65083,59882,0.13,8241,-619,-1245,61198,63473,55508,61198,2636,1005,0.11,6686,77521,31728,0.1,6233,57920,15081,0.78,47627,16609,12475,62148,89717,32529
2171,22365,22365,68530,57887,0.85,18992,72046,64552,0.2,4477,-1459,-1788,22365,71527,60600,22365,2963,1281,0.1,2190,82840,35014,0.09,2076,58321,17020,0.81,18081,19461,14327,22651,105429,48314
2172,1830,1830,93630,74937,0.86,1578,87379,78660,0.32,590,221,-342,1830,97928,79320,1830,4265,1718,0.08,139,85827,40458,0.07,134,42553,13226,0.83,1524,30456,20726,1920,211168,105033
2173,8776,8776,75403,67323,0.88,7756,78422,73294,0.21,1824,-2166,-1432,8776,78439,70000,8776,3013,1363,0.08,700,78682,26846,0.08,663,57887,10968,0.83,7298,21531,17054,9211,141517,71640
2174,8218,8218,74677,66084,0.89,7321,79661,73143,0.2,1656,-4492,-3199,8218,77842,69336,8218,3150,1518,0.09,772,59556,25819,0.09,726,37118,13106,0.84,6873,21297,16682,7773,75535,39853
